ID,Sex,Population,premass,postmass,weightloss,time.sec,time.min,distance,averagevelocity,maxvelocity,power,Area,PC1,PC2,groupnumeric
C80,F,west,0.4702,0.4679,-5.511749711,555.2325,9.253875,747.27,1.402543813,1.466004603,0.00082886,922.023,-1.46051593,0.20291598,3
C101,M,west,0.4757,0.3741,-3.536677716,284.5638,4.74273,349.6,1.187905569,1.331336741,0.00092756,785.482,0.66658227,0.34681186,4
C109,M,west,0.4831,0.4821,-5.47299035,288.0054,4.80009,297.16,1.068705042,1.17157696,0.000955921,820.747,0.69949732,-0.06559635,4
C112,M,west,0.4875,0.471,-5.280329989,1799.568,29.9928,3146.4,1.795950443,1.86160961,0.000422096,817.127,0.64450411,0.75066396,4
C113,M,west,0.4601,0.4548,-5.183377296,535.14582,8.919097,808.45,1.508303481,1.593826905,0.000966709,747.37,0.19209575,-0.7211039,4
C118,M,west,0.66,0.6546,-4.953410656,482.58144,8.043024,485.07,1.114406049,1.258825888,0.000842291,916.617,-0.64995679,-0.15382888,4
C133,M,west,0.5477,0.5458,-5.612147838,537.66822,8.961137,777.86,1.458364624,1.507414537,0.001079497,771.188,0.85964393,0.39720657,4
C56,M,west,0.496,0.4946,-5.598157122,539.33268,8.988878,554.99,1.040452414,1.062053009,0.000496377,804.901,1.2589724,-0.37231036,4
C57,M,west,0.4587,0.4521,-4.352416418,222.07056,3.701176,148.58,0.667094707,0.669066673,0.00045299,825.656,-0.77810565,0.97680102,4
C59,M,west,0.358,0.3558,-5.110972113,406.96566,6.782761,284.05,0.758022957,0.862391084,0.000251179,838.407,-0.63475914,0.63456201,4
C63,M,west,0.5144,0.4908,-3.966539438,252.40368,4.206728,218.5,1.074288637,1.255506212,0.001122072,940.117,-1.20318507,-0.15917319,4
C66,M,west,0.552,0.5487,-5.538608004,662.862,11.0477,1140.57,1.712389907,1.738291173,0.001213632,861.824,1.05833583,-0.98188044,4
C67,M,west,0.4583,0.4555,-5.218629271,502.689,8.37815,463.22,0.719367172,0.925274991,0.000234455,834.207,-1.28062631,0.7789239,4
C68,M,west,0.5756,0.5598,-4.617915609,631.7202,10.52867,655.5,1.106769213,1.202548688,0.000542741,823.029,0.74186309,-0.45423456,4
C71,M,west,0.4725,0.4636,-5.185246024,1097.9148,18.29858,1363.44,1.320014346,1.402383977,0.000367877,795.474,1.54786157,-1.02801348,4
