ID	LogRelexpr18S28S_379	LogRelexpr18S28S_203	LogRelexpr18S28S_C2	LogRelexpr18S28S_C4	LogRelexpr18S28S_C5	LogRelexpr18S28S_C7	Sex	Population	premass	postmass	weightloss	time.sec	time.min	distance	averagevelocity	maxvelocity	power	Area	PC1_wing_size	PC2_wing_shape
FL09	NA	NA	NA	NA	NA	NA	M	east	0.5442	0.5351	-5.522799515	1801.2054	30.02009	3032.78	1.788136858	1.851309988	4.74945e-4	828.884	0.67651065	-0.45694247
FL18	NA	NA	NA	NA	NA	NA	M	east	0.5451	0.5428	-5.596816936	642.1344	10.70224	908.96	1.535164138	1.6155282	9.96078e-4	900.584	-0.16907394	-0.46301647
FL29	NA	NA	NA	NA	NA	NA	M	east	0.5997	0.5906	-5.086273761	844.5222	14.07537	1109.98	1.358356451	1.415673624	6.45178e-4	908.073	0.57618328	-0.91649192
FL32	NA	NA	NA	NA	NA	NA	M	east	0.5692	0.5619	-4.66925318	389.36952	6.489492	340.86	0.968979341	1.074620483	6.77479e-4	969.093	-0.37022843	-1.35702685
FL37	NA	NA	NA	NA	NA	NA	M	east	0.5408	0.5382	-5.483186664	701.589	11.69315	790.97	1.191082387	1.316676607	5.44145e-4	825.684	-0.31144612	0.78033502
FL38	NA	NA	NA	NA	NA	NA	M	east	0.5148	0.5065	-5.375579886	1779.4818	29.65803	1970.87	1.23071402	1.429623645	2.15561e-4	867.141	-0.64034595	0.02477006
FL40	NA	NA	NA	NA	NA	NA	M	east	0.611	0.6087	-5.415474168	591.91128	9.865188	598.69	1.084969331	1.126765723	6.05273e-4	924.919	-2.56903196	1.26106816
FL45	NA	NA	NA	NA	NA	NA	M	east	0.3317	0.3281	-4.774375016	286.76634	4.779439	214.13	0.738766939	0.768943941	3.12222e-4	825.063	-0.71483441	0.51070362
FL55	NA	NA	NA	NA	NA	NA	M	east	0.5733	0.5562	-4.989548689	1796.5032	29.94172	1669.34	1.064869937	1.19829867	1.75536e-4	865.031	-0.89406953	0.47391324
C137	NA	NA	NA	NA	NA	NA	F	west	0.4187	0.407	-4.506794026	486.45408	8.107568	375.82	0.768775969	0.78738444	2.47242e-4	788.11	0.88156625	0.82816466
C140	NA	NA	NA	NA	NA	NA	F	west	0.4777	0.469	-4.73438594	362.77368	6.046228	471.96	1.3858279	1.456938434	0.00124144	805.638	0.6447561	0.40730138
C150	NA	NA	NA	NA	NA	NA	F	west	0.4571	0.454	-5.608512231	821.1066	13.68511	1258.56	1.524655453	1.553046672	6.42643e-4	749.253	0.90387107	0.91300093
C156	NA	NA	NA	NA	NA	NA	F	west	0.4858	0.4807	-5.142426275	521.17356	8.686226	707.94	1.44519873	1.539020019	9.63201e-4	823.864	0.58103314	-0.10014715
C160	NA	NA	NA	NA	NA	NA	F	west	0.5572	0.5564	-5.550304807	282.64746	4.710791	284.05	1.082982388	1.147173104	0.001154396	924.271	-0.71336158	-0.20194012
C163	NA	NA	NA	NA	NA	NA	F	west	0.4707	0.4633	-5.028928292	738.4938	12.30823	790.97	1.193973129	1.291912841	4.47172e-4	769.188	0.50047192	0.70739058
C170	NA	NA	NA	NA	NA	NA	F	west	0.5483	0.5398	-5.229576451	1059.8364	17.66394	1442.1	1.489680049	1.595012877	5.65132e-4	940.028	-0.91109512	0.01028178
C178	NA	NA	NA	NA	NA	NA	F	west	0.3912	0.3903	-5.478630617	289.45422	4.824237	270.94	0.79256676	0.93603751	4.23507e-4	784.848	1.63394947	-1.20109592
C183	NA	NA	NA	NA	NA	NA	F	west	0.4776	0.4752	-5.30166288	319.39554	5.323259	480.7	1.583050338	1.711773825	0.001864262	829.056	1.1691269	-0.62121933
C73	NA	NA	NA	NA	NA	NA	F	west	0.4023	0.3915	-4.482118945	426.38334	7.106389	327.75	0.816738726	0.88784719	3.06244e-4	740.633	1.97442997	0.11829955
C80	NA	NA	NA	NA	NA	NA	F	west	0.4702	0.4679	-5.511749711	555.2325	9.253875	747.27	1.402543813	1.466004603	8.2886e-4	922.023	-1.46051593	0.20291598
C101	NA	NA	NA	NA	NA	NA	M	west	0.4757	0.3741	-3.536677716	284.5638	4.74273	349.6	1.187905569	1.331336741	9.2756e-4	785.482	0.66658227	0.34681186
C109	NA	NA	NA	NA	NA	NA	M	west	0.4831	0.4821	-5.47299035	288.0054	4.80009	297.16	1.068705042	1.17157696	9.55921e-4	820.747	0.69949732	-0.06559635
C112	NA	NA	NA	NA	NA	NA	M	west	0.4875	0.471	-5.280329989	1799.568	29.9928	3146.4	1.795950443	1.86160961	4.22096e-4	817.127	0.64450411	0.75066396
C113	NA	NA	NA	NA	NA	NA	M	west	0.4601	0.4548	-5.183377296	535.14582	8.919097	808.45	1.508303481	1.593826905	9.66709e-4	747.37	0.19209575	-0.7211039
C133	NA	NA	NA	NA	NA	NA	M	west	0.5477	0.5458	-5.612147838	537.66822	8.961137	777.86	1.458364624	1.507414537	0.001079497	771.188	0.85964393	0.39720657
C57	NA	NA	NA	NA	NA	NA	M	west	0.4587	0.4521	-4.352416418	222.07056	3.701176	148.58	0.667094707	0.669066673	4.5299e-4	825.656	-0.77810565	0.97680102
C59	NA	NA	NA	NA	NA	NA	M	west	0.358	0.3558	-5.110972113	406.96566	6.782761	284.05	0.758022957	0.862391084	2.51179e-4	838.407	-0.63475914	0.63456201
C66	NA	NA	NA	NA	NA	NA	M	west	0.552	0.5487	-5.538608004	662.862	11.0477	1140.57	1.712389907	1.738291173	0.001213632	861.824	1.05833583	-0.98188044
C71	NA	NA	NA	NA	NA	NA	M	west	0.4725	0.4636	-5.185246024	1097.9148	18.29858	1363.44	1.320014346	1.402383977	3.67877e-4	795.474	1.54786157	-1.02801348
